poliza;Sexo;sri;gdi;sin;ant_comp;ant_perm;edad;ant_veh
8701805515;Hombre;Urbano;Garantía daños propios contratada;0;13;12;30;2
8806400007;Hombre;No urbano;Garantía daños propios contratada;3;12;17;60;0
9104301988;Hombre;Urbano;Garantía daños propios contratada;0;9;24;42;0
9203600552;Hombre;No urbano;Garantía daños propios contratada;0;8;23;41;2
9504951388;Hombre;Urbano;Garantía daños propios contratada;0;5;9;50;2
9801352245;Hombre;No urbano;Garantía daños propios contratada;0;2;21;39;2
9811750185;Hombre;No urbano;Garantía daños propios contratada;0;2;11;29;2
1066000063;Mujer;Urbano;No contratada;1;0;23;50;0
3960000035;Hombre;Urbano;No contratada;1;0;17;60;6
8401501676;Hombre;No urbano;No contratada;0;16;31;49;9
8803103341;Hombre;No urbano;No contratada;0;12;0;18;2
9202353094;Hombre;Urbano;No contratada;0;8;25;59;12
9202802916;Hombre;No urbano;Garantía daños propios contratada;0;8;24;50;8
9204854808;Hombre;No urbano;No contratada;0;8;21;39;13
9502302464;Hombre;Urbano;No contratada;0;5;22;40;1
9600353686;Hombre;Urbano;Garantía daños propios contratada;0;4;38;60;4
9602859313;Hombre;Urbano;Garantía daños propios contratada;0;4;19;37;9
9800760062;Hombre;Urbano;Garantía daños propios contratada;0;2;22;40;2
9811854105;Hombre;Urbano;No contratada;0;2;34;59;11
9819150207;Hombre;No urbano;No contratada;0;2;16;60;4
9905453581;Mujer;No urbano;No contratada;0;1;19;40;5
8502490425;Mujer;Urbano;No contratada;0;15;45;63;11
8704602836;Mujer;No urbano;No contratada;0;13;20;38;17
8803701790;Hombre;No urbano;No contratada;0;12;22;40;4
8908001238;Hombre;Urbano;Garantía daños propios contratada;0;11;33;51;11
9302304869;Mujer;No urbano;No contratada;0;7;10;40;7
9502355241;Hombre;Urbano;No contratada;0;5;40;58;21
9912254795;Hombre;No urbano;No contratada;0;1;23;41;12
2000765932;Hombre;No urbano;No contratada;0;0;26;60;10
9000403887;Hombre;No urbano;No contratada;0;10;28;46;11
9411500662;Mujer;No urbano;No contratada;0;6;12;30;11
2001652503;Hombre;No urbano;No contratada;0;0;0;18;12
2003068790;Mujer;No urbano;No contratada;0;0;13;60;9
2003652410;Hombre;No urbano;No contratada;0;0;40;60;1
9201202718;Hombre;No urbano;No contratada;0;8;31;49;1
9806254557;Mujer;Urbano;No contratada;0;2;11;60;11
9900861774;Hombre;No urbano;No contratada;0;1;12;30;12
9107600829;Hombre;Urbano;No contratada;0;9;23;41;17
9502351172;Hombre;Urbano;No contratada;0;5;24;42;1
9502853971;Mujer;No urbano;No contratada;0;5;24;42;9
9503000412;Hombre;No urbano;Garantía daños propios contratada;0;5;22;40;1
9804755614;Hombre;No urbano;No contratada;0;2;35;53;14
2000870763;Hombre;No urbano;Garantía daños propios contratada;0;0;22;40;0
2000883727;Hombre;No urbano;No contratada;0;0;13;40;0
8604657045;Hombre;No urbano;Garantía daños propios contratada;0;14;6;60;0
8610050370;Hombre;No urbano;No contratada;1;14;33;51;14
9900760573;Hombre;No urbano;No contratada;0;1;21;39;1
9907251410;Mujer;Urbano;Garantía daños propios contratada;0;1;28;60;2
2000369960;Hombre;No urbano;No contratada;1;0;33;51;1
2003053687;Hombre;No urbano;Garantía daños propios contratada;0;0;34;52;0
2005454918;Hombre;Urbano;Garantía daños propios contratada;0;0;21;39;0
8706301966;Hombre;Urbano;No contratada;0;13;12;30;12
8910300474;Hombre;Urbano;No contratada;0;11;27;59;11
8912300554;Hombre;No urbano;No contratada;0;11;22;40;9
9006700767;Hombre;No urbano;No contratada;0;10;12;30;0
9104600692;Hombre;Urbano;No contratada;0;9;42;60;19
9300500830;Hombre;No urbano;No contratada;1;7;30;48;2
9402852697;Hombre;No urbano;No contratada;0;6;35;53;8
9408810192;Hombre;No urbano;No contratada;0;6;42;60;11
9704551546;Hombre;No urbano;Garantía daños propios contratada;0;3;15;40;3
9804050092;Hombre;No urbano;No contratada;0;2;46;64;2
9900551709;Hombre;No urbano;Garantía daños propios contratada;0;1;32;50;1
9904176349;Hombre;Urbano;No contratada;0;1;34;52;1
8402800923;Hombre;Urbano;No contratada;0;16;24;50;16
9800457190;Hombre;Urbano;No contratada;0;2;22;40;14
100800091;Hombre;No urbano;No contratada;0;20;22;40;8
2000868753;Mujer;No urbano;No contratada;0;0;36;54;7
2019151357;Hombre;No urbano;No contratada;0;0;3;30;9
8501901932;Hombre;Urbano;No contratada;0;15;29;47;8
8606300488;Hombre;No urbano;No contratada;0;14;26;44;8
8802701213;Mujer;Urbano;No contratada;0;12;21;39;7
9000901136;Hombre;No urbano;No contratada;0;10;32;50;8
9205454173;Hombre;Urbano;No contratada;0;8;14;40;1
9300873026;Hombre;No urbano;No contratada;0;7;22;40;8
9302170397;Mujer;No urbano;No contratada;0;7;17;40;9
9400202536;Hombre;Urbano;No contratada;0;6;14;40;9
9603352573;Hombre;Urbano;No contratada;0;4;19;37;8
9801750745;Hombre;Urbano;No contratada;0;2;33;51;2
9808751592;Hombre;No urbano;No contratada;0;2;14;40;6
9908853351;Hombre;No urbano;No contratada;0;1;36;60;7
9211210319;Hombre;Urbano;No contratada;0;8;32;50;8
9306201320;Mujer;No urbano;No contratada;0;7;30;48;7
9502600735;Hombre;No urbano;No contratada;0;5;34;52;13
2004688003;Hombre;Urbano;No contratada;0;0;22;40;0
2006158019;Hombre;No urbano;No contratada;0;0;24;42;6
2007451347;Hombre;No urbano;No contratada;0;0;24;42;2
3660000061;Mujer;No urbano;Garantía daños propios contratada;0;0;16;49;0
8403700503;Hombre;Urbano;No contratada;0;16;27;60;6
8503650163;Hombre;No urbano;Garantía daños propios contratada;0;15;21;39;1
8508890395;Hombre;Urbano;No contratada;0;15;23;41;11
8600252750;Hombre;No urbano;No contratada;0;14;24;60;5
8604551698;Hombre;No urbano;Garantía daños propios contratada;0;14;12;30;7
8604650908;Hombre;Urbano;Garantía daños propios contratada;0;14;28;60;4
8611650859;Hombre;No urbano;Garantía daños propios contratada;0;14;22;40;2
8700712158;Hombre;Urbano;No contratada;0;13;17;50;1
8710300585;Hombre;Urbano;No contratada;0;13;33;51;29
9003302372;Hombre;No urbano;Garantía daños propios contratada;0;10;31;49;2
9007200334;Hombre;Urbano;Garantía daños propios contratada;0;10;13;40;2
9011800764;Hombre;No urbano;No contratada;0;10;39;57;6
9202304790;Hombre;No urbano;Garantía daños propios contratada;0;8;32;50;8
9302860020;Hombre;No urbano;No contratada;0;7;22;40;3
9304070260;Hombre;No urbano;Garantía daños propios contratada;0;7;22;40;10
9308601156;Hombre;No urbano;No contratada;0;7;32;50;2
9403900398;Hombre;No urbano;Garantía daños propios contratada;0;6;32;50;6
9602354654;Hombre;No urbano;Garantía daños propios contratada;0;4;22;40;6
9605056007;Hombre;No urbano;No contratada;2;4;31;60;4
9802865126;Hombre;No urbano;Garantía daños propios contratada;0;2;22;40;11
9900371435;Hombre;Urbano;No contratada;0;1;34;52;1
9904163650;Hombre;No urbano;No contratada;0;1;2;20;1
9904554015;Hombre;No urbano;No contratada;0;1;22;40;1
9919051517;Mujer;No urbano;Garantía daños propios contratada;0;1;8;29;1
9704667879;Hombre;No urbano;No contratada;0;3;22;40;10
9804153505;Hombre;No urbano;No contratada;0;2;36;59;14
1190000012;Hombre;Urbano;No contratada;0;0;34;52;4
9804655045;Hombre;No urbano;No contratada;0;2;32;60;10
9812352198;Hombre;No urbano;No contratada;0;2;12;30;12
9902860291;Hombre;No urbano;No contratada;0;1;12;30;11
2000372019;Hombre;Urbano;No contratada;0;0;18;60;1
9415550173;Hombre;Urbano;Garantía daños propios contratada;0;6;19;40;1
9704650035;Hombre;No urbano;No contratada;0;3;2;20;10
9800251531;Hombre;No urbano;Garantía daños propios contratada;0;2;21;39;2
9804452778;Mujer;Urbano;Garantía daños propios contratada;0;2;27;50;2
9900352802;Mujer;No urbano;No contratada;0;1;28;46;7
9903652154;Hombre;No urbano;Garantía daños propios contratada;0;1;12;30;1
9904660786;Hombre;No urbano;Garantía daños propios contratada;0;1;31;50;4
9905052977;Mujer;No urbano;Garantía daños propios contratada;0;1;12;30;1
9905650573;Hombre;Urbano;Garantía daños propios contratada;0;1;32;50;1
302818499;Mujer;Urbano;Garantía daños propios contratada;1;17;16;49;4
2010957092;Hombre;Urbano;No contratada;0;0;35;59;2
8605700746;Hombre;Urbano;No contratada;0;14;22;40;6
9300970143;Hombre;No urbano;Garantía daños propios contratada;0;7;12;30;0
9803352182;Hombre;No urbano;No contratada;0;2;23;41;2
9904550469;Hombre;Urbano;Garantía daños propios contratada;0;1;29;47;1
2000360232;Hombre;Urbano;No contratada;0;0;29;50;11
2002868859;Hombre;No urbano;No contratada;0;0;30;48;0
2003352391;Hombre;No urbano;No contratada;0;0;43;61;18
2004681867;Hombre;No urbano;No contratada;0;0;13;31;9
8504300633;Hombre;No urbano;No contratada;0;15;26;50;11
8604160833;Hombre;Urbano;No contratada;0;14;22;40;11
8711001674;Hombre;No urbano;Garantía daños propios contratada;0;13;14;40;0
9119400957;Hombre;No urbano;No contratada;0;9;15;60;9
9202401693;Hombre;Urbano;No contratada;0;8;16;60;11
9202955199;Mujer;No urbano;No contratada;0;8;8;30;1
9202959931;Hombre;No urbano;No contratada;1;8;27;50;8
9300800845;Hombre;No urbano;No contratada;0;7;38;60;10
9305500536;Hombre;No urbano;Garantía daños propios contratada;0;7;14;59;7
9501556102;Hombre;No urbano;Garantía daños propios contratada;0;5;24;59;9
9519100051;Hombre;No urbano;No contratada;0;5;11;29;9
9802155927;Hombre;Urbano;No contratada;0;2;31;49;10
9803151301;Hombre;No urbano;Garantía daños propios contratada;0;2;31;50;9
9812452631;Mujer;No urbano;No contratada;0;2;9;60;11
9900868812;Hombre;No urbano;No contratada;0;1;25;43;9
9902969510;Hombre;No urbano;No contratada;0;1;24;42;10
9903652010;Hombre;No urbano;Garantía daños propios contratada;1;1;22;40;1
9905154989;Hombre;No urbano;No contratada;0;1;20;38;9
9907750468;Hombre;No urbano;Garantía daños propios contratada;0;1;24;49;5
2000553093;Hombre;Urbano;No contratada;0;0;2;20;11
2004352661;Hombre;No urbano;No contratada;0;0;11;39;11
8500854618;Hombre;Urbano;No contratada;0;15;18;36;9
9902860909;Hombre;No urbano;No contratada;0;1;15;59;13
9904850396;Mujer;No urbano;Garantía daños propios contratada;0;1;12;30;1
2000884932;Hombre;Urbano;Garantía daños propios contratada;0;0;12;30;0
9201813174;Hombre;No urbano;No contratada;0;8;2;20;0
9215501030;Hombre;No urbano;No contratada;0;8;25;43;8
9401250159;Hombre;Urbano;No contratada;0;6;32;50;11
9502452741;Hombre;Urbano;No contratada;0;5;0;18;1
9802856274;Mujer;No urbano;No contratada;0;2;12;30;3
9802867815;Hombre;Urbano;No contratada;0;2;0;18;6
9804555807;Hombre;No urbano;No contratada;0;2;23;41;7
9902860346;Hombre;No urbano;Garantía daños propios contratada;0;1;31;49;1
101001609;Mujer;No urbano;No contratada;0;19;12;30;1
202400425;Mujer;Urbano;Garantía daños propios contratada;0;18;23;41;0
308100434;Mujer;No urbano;Garantía daños propios contratada;0;17;11;29;4
704523404;Hombre;No urbano;Garantía daños propios contratada;0;23;33;51;5
901901723;Hombre;Urbano;Garantía daños propios contratada;0;21;26;59;1
908710770;Hombre;No urbano;No contratada;0;21;41;59;0
1012000054;Mujer;Urbano;Garantía daños propios contratada;0;0;15;49;0
2000365353;Hombre;No urbano;No contratada;0;0;23;41;0
2000862255;Mujer;No urbano;No contratada;0;0;22;40;6
2000953102;Hombre;No urbano;Garantía daños propios contratada;0;0;27;59;2
2001352035;Hombre;No urbano;No contratada;1;0;22;40;0
2002867582;Mujer;No urbano;No contratada;0;0;2;20;6
2002874652;Hombre;No urbano;No contratada;0;0;23;49;10
2004163999;Hombre;No urbano;No contratada;1;0;21;39;4
2004173563;Hombre;No urbano;No contratada;0;0;18;60;0
2004758360;Hombre;Urbano;Garantía daños propios contratada;0;0;23;41;0
2004758809;Hombre;No urbano;No contratada;2;0;13;59;11
2005152588;Mujer;No urbano;No contratada;0;0;14;39;9
2008152919;Hombre;No urbano;No contratada;0;0;23;50;4
2011452349;Hombre;Urbano;Garantía daños propios contratada;0;0;32;50;2
2012257984;Hombre;No urbano;Garantía daños propios contratada;0;0;24;42;0
3525000061;Hombre;No urbano;No contratada;0;0;22;40;1
5438000084;Hombre;Urbano;Garantía daños propios contratada;0;0;22;40;0
8400500065;Hombre;No urbano;Garantía daños propios contratada;0;16;20;38;3
8402601245;Hombre;Urbano;No contratada;0;16;38;56;9
8403700785;Hombre;Urbano;Garantía daños propios contratada;0;16;32;50;1
8404300188;Hombre;Urbano;Garantía daños propios contratada;0;16;29;47;3
8408600369;Hombre;No urbano;No contratada;0;16;39;57;8
8501601600;Hombre;Urbano;No contratada;0;15;28;46;8
8502201230;Mujer;No urbano;Garantía daños propios contratada;0;15;22;40;0
8503002820;Hombre;No urbano;No contratada;0;15;22;40;0
8601951963;Hombre;No urbano;No contratada;0;14;22;40;12
8602650748;Hombre;No urbano;No contratada;0;14;23;41;6
8603353938;Hombre;Urbano;Garantía daños propios contratada;0;14;23;49;1
8608701277;Hombre;Urbano;Garantía daños propios contratada;0;14;0;18;0
8611451090;Hombre;No urbano;Garantía daños propios contratada;0;14;30;48;7
8700501028;Hombre;Urbano;No contratada;0;13;22;40;9
8702103662;Hombre;No urbano;Garantía daños propios contratada;0;13;31;49;0
8703102856;Hombre;No urbano;No contratada;0;13;32;50;13
8704200487;Mujer;Urbano;Garantía daños propios contratada;0;13;0;18;13
8712200146;Hombre;No urbano;Garantía daños propios contratada;0;13;12;30;8
8714501596;Hombre;No urbano;No contratada;1;13;30;48;6
8803700441;Hombre;Urbano;No contratada;0;12;31;49;12
8804705052;Hombre;No urbano;No contratada;0;12;21;50;5
8902702066;Hombre;No urbano;Garantía daños propios contratada;0;11;22;40;0
8906200301;Hombre;No urbano;Garantía daños propios contratada;0;11;26;49;6
9002907008;Hombre;No urbano;Garantía daños propios contratada;0;10;34;52;7
9004100034;Hombre;Urbano;No contratada;0;10;17;60;2
9006600895;Hombre;No urbano;No contratada;1;10;22;40;1
9102905073;Hombre;No urbano;No contratada;1;9;14;49;9
9104620730;Hombre;No urbano;No contratada;0;9;9;59;0
9104652697;Hombre;No urbano;Garantía daños propios contratada;0;9;15;40;1
9105003679;Hombre;No urbano;No contratada;0;9;33;51;17
9106200306;Hombre;No urbano;Garantía daños propios contratada;1;9;23;60;2
9110310555;Hombre;No urbano;No contratada;0;9;24;42;16
9111210876;Hombre;No urbano;No contratada;0;9;22;40;9
9115008088;Hombre;Urbano;Garantía daños propios contratada;0;9;22;40;1
9200703633;Hombre;Urbano;Garantía daños propios contratada;0;8;11;50;2
9203950154;Hombre;Urbano;No contratada;0;8;17;60;8
9204000133;Hombre;Urbano;Garantía daños propios contratada;0;8;23;41;8
9204601260;Hombre;No urbano;No contratada;1;8;12;30;8
9205001881;Hombre;No urbano;No contratada;0;8;13;40;1
9206700286;Hombre;No urbano;Garantía daños propios contratada;1;8;12;30;1
9208600601;Mujer;Urbano;Garantía daños propios contratada;0;8;22;50;2
9212401982;Hombre;No urbano;No contratada;0;8;38;56;15
9300874250;Hombre;No urbano;No contratada;0;7;29;60;9
9304050816;Mujer;No urbano;No contratada;0;7;1;19;5
9304752919;Hombre;No urbano;No contratada;0;7;21;39;4
9311503838;Hombre;No urbano;Garantía daños propios contratada;0;7;21;39;1
9311571186;Hombre;No urbano;No contratada;0;7;12;30;7
9401600265;Hombre;No urbano;Garantía daños propios contratada;0;6;10;28;5
9402052550;Hombre;Urbano;No contratada;0;6;31;50;8
9403102158;Hombre;No urbano;No contratada;0;6;12;30;17
9404110147;Hombre;Urbano;Garantía daños propios contratada;0;6;22;40;1
9404151449;Mujer;Urbano;No contratada;0;6;14;50;5
9404552184;Hombre;No urbano;No contratada;0;6;26;49;1
9404554810;Hombre;Urbano;Garantía daños propios contratada;0;6;17;60;1
9404555046;Hombre;No urbano;Garantía daños propios contratada;0;6;22;40;7
9405056744;Mujer;Urbano;Garantía daños propios contratada;0;6;21;40;10
9406900744;Mujer;No urbano;Garantía daños propios contratada;0;6;26;60;6
9407750784;Mujer;No urbano;No contratada;0;6;18;60;7
9500650571;Mujer;No urbano;Garantía daños propios contratada;0;5;12;30;1
9500952236;Hombre;No urbano;No contratada;0;5;21;60;0
9504656416;Hombre;Urbano;No contratada;0;5;8;60;8
9507350121;Hombre;No urbano;Garantía daños propios contratada;0;5;12;59;5
9511551063;Hombre;No urbano;No contratada;0;5;13;40;6
9600355225;Mujer;Urbano;Garantía daños propios contratada;0;4;23;41;5
9600454273;Hombre;Urbano;No contratada;0;4;22;40;3
9602857089;Hombre;No urbano;Garantía daños propios contratada;0;4;25;43;4
9603152790;Hombre;No urbano;No contratada;0;4;25;43;7
9603155977;Mujer;Urbano;Garantía daños propios contratada;0;4;10;28;1
9603251835;Mujer;No urbano;Garantía daños propios contratada;0;4;22;40;0
9605050192;Mujer;No urbano;Garantía daños propios contratada;0;4;23;41;3
9611552233;Hombre;No urbano;No contratada;0;4;2;20;11
9611852633;Hombre;Urbano;No contratada;0;4;2;20;8
9700854442;Hombre;No urbano;Garantía daños propios contratada;1;3;12;30;3
9703350389;Hombre;No urbano;No contratada;0;3;42;60;12
9704663970;Hombre;No urbano;No contratada;0;3;38;56;6
9707751057;Hombre;No urbano;No contratada;0;3;21;50;6
9800360659;Mujer;No urbano;Garantía daños propios contratada;0;2;13;59;2
9800951415;Hombre;Urbano;No contratada;0;2;21;39;11
9801551557;Hombre;No urbano;Garantía daños propios contratada;0;2;32;50;3
9803052417;Mujer;No urbano;No contratada;0;2;10;28;2
9803951633;Hombre;Urbano;No contratada;0;2;18;59;8
9804451179;Hombre;No urbano;No contratada;0;2;27;50;12
9804673732;Mujer;No urbano;No contratada;0;2;10;40;4
9804754601;Hombre;No urbano;No contratada;1;2;22;40;8
9804862617;Hombre;Urbano;No contratada;0;2;23;50;9
9808151366;Hombre;Urbano;Garantía daños propios contratada;0;2;42;60;2
9819550476;Hombre;No urbano;No contratada;0;2;23;41;7
9900658503;Hombre;Urbano;No contratada;0;1;28;60;5
9901157789;Hombre;No urbano;No contratada;0;1;33;51;8
9901550128;Hombre;No urbano;Garantía daños propios contratada;0;1;13;40;1
9901952795;Hombre;No urbano;No contratada;0;1;16;50;1
9902050882;Hombre;Urbano;Garantía daños propios contratada;0;1;12;30;1
9902155887;Hombre;No urbano;No contratada;0;1;0;18;1
9902352501;Hombre;Urbano;No contratada;0;1;24;50;7
9902452169;Hombre;No urbano;No contratada;0;1;28;46;0
9902865351;Mujer;No urbano;Garantía daños propios contratada;0;1;20;38;9
9903450735;Hombre;No urbano;Garantía daños propios contratada;0;1;21;39;2
9903952437;Hombre;Urbano;No contratada;0;1;13;40;9
9904150847;Hombre;No urbano;No contratada;0;1;22;40;1
9905057502;Hombre;No urbano;No contratada;0;1;30;50;7
9910754437;Hombre;Urbano;No contratada;0;1;37;55;4
9911552377;Hombre;No urbano;Garantía daños propios contratada;0;1;24;50;3
9911651402;Hombre;No urbano;No contratada;0;1;21;39;10
9919550841;Mujer;Urbano;No contratada;0;1;34;52;5
8801901830;Hombre;No urbano;No contratada;0;12;24;42;12
9300870147;Hombre;No urbano;No contratada;0;7;27;45;1
9910853134;Mujer;No urbano;No contratada;0;1;24;50;10
2000761990;Mujer;No urbano;No contratada;0;0;11;29;10
2002862537;Mujer;No urbano;Garantía daños propios contratada;0;0;21;39;2
2012259066;Hombre;No urbano;No contratada;0;0;2;20;3
2012454395;Mujer;No urbano;Garantía daños propios contratada;0;0;15;50;0
8608901899;Hombre;No urbano;No contratada;0;14;28;60;1
8701200742;Hombre;Urbano;Garantía daños propios contratada;0;13;16;40;3
8905106164;Hombre;Urbano;No contratada;0;11;26;44;10
9400552082;Hombre;No urbano;No contratada;0;6;37;55;14
9904153646;Mujer;No urbano;No contratada;0;1;0;18;6
2011753469;Hombre;Urbano;No contratada;0;0;37;55;10
9311602754;Hombre;Urbano;Garantía daños propios contratada;0;7;13;40;2
9502857828;Hombre;No urbano;Garantía daños propios contratada;0;5;25;43;0
9803354255;Hombre;No urbano;No contratada;0;2;23;41;1
9804664352;Hombre;No urbano;No contratada;1;2;12;30;2
1120000136;Hombre;No urbano;No contratada;1;0;12;30;12
8701704045;Mujer;No urbano;Garantía daños propios contratada;0;13;22;40;1
9407652840;Hombre;No urbano;No contratada;0;6;28;46;11
206300868;Hombre;No urbano;Garantía daños propios contratada;0;18;23;41;0
304642026;Hombre;Urbano;No contratada;0;17;26;44;6
2001157015;Hombre;No urbano;No contratada;0;0;23;41;3
2002857794;Mujer;No urbano;No contratada;0;0;10;39;0
2002866236;Hombre;No urbano;No contratada;0;0;33;51;6
2002875363;Hombre;No urbano;No contratada;0;0;0;18;1
2004358173;Hombre;Urbano;Garantía daños propios contratada;0;0;29;47;0
2004756927;Hombre;Urbano;No contratada;0;0;33;51;0
2008250433;Hombre;Urbano;No contratada;0;0;1;19;7
2011856888;Hombre;Urbano;No contratada;0;0;0;18;5
2019651618;Mujer;No urbano;No contratada;0;0;10;50;2
8602452696;Hombre;No urbano;No contratada;0;14;23;41;6
8806700261;Hombre;No urbano;Garantía daños propios contratada;0;12;27;45;0
8909500612;Hombre;No urbano;Garantía daños propios contratada;0;11;22;40;0
9200450892;Hombre;No urbano;No contratada;0;8;23;41;6
9203353847;Hombre;No urbano;Garantía daños propios contratada;0;8;21;39;1
9315350114;Hombre;No urbano;Garantía daños propios contratada;0;7;22;40;1
9404856458;Hombre;No urbano;No contratada;0;6;13;31;6
9405102009;Hombre;Urbano;Garantía daños propios contratada;0;6;13;31;1
9407653570;Hombre;Urbano;No contratada;0;6;40;58;2
9508250957;Hombre;Urbano;No contratada;0;5;30;48;3
9603350864;Hombre;No urbano;Garantía daños propios contratada;1;4;32;50;4
9603751457;Hombre;No urbano;No contratada;0;4;32;50;4
9704664201;Hombre;No urbano;No contratada;0;3;16;50;6
9704752195;Hombre;No urbano;No contratada;0;3;27;60;3
9800150655;Hombre;No urbano;Garantía daños propios contratada;1;2;13;31;6
9800352152;Mujer;Urbano;No contratada;2;2;14;50;3
9900653251;Hombre;Urbano;No contratada;0;1;33;60;1
9900854147;Hombre;No urbano;Garantía daños propios contratada;0;1;37;55;7
9901556210;Hombre;No urbano;No contratada;0;1;0;18;1
9902157760;Mujer;No urbano;No contratada;0;1;2;20;1
9902964686;Mujer;No urbano;No contratada;0;1;2;20;4
9904251300;Hombre;Urbano;Garantía daños propios contratada;0;1;25;50;2
9904561692;Hombre;No urbano;Garantía daños propios contratada;0;1;1;19;1
9908752652;Hombre;No urbano;No contratada;0;1;32;50;6
8606450597;Hombre;Urbano;No contratada;0;14;32;60;6
8702406492;Hombre;No urbano;No contratada;1;13;23;41;7
9004301634;Mujer;Urbano;No contratada;0;10;12;30;6
9108700296;Hombre;Urbano;No contratada;0;9;22;40;8
9500862596;Hombre;No urbano;Garantía daños propios contratada;0;5;12;30;5
104103377;Hombre;Urbano;No contratada;0;19;18;60;7
302003300;Hombre;No urbano;Garantía daños propios contratada;0;17;21;39;1
502407862;Hombre;Urbano;No contratada;0;25;22;40;5
2000366902;Hombre;No urbano;No contratada;1;0;13;31;1
2000653050;Hombre;No urbano;Garantía daños propios contratada;0;0;2;20;0
2001852669;Hombre;No urbano;Garantía daños propios contratada;0;0;15;40;0
2003171033;Hombre;No urbano;Garantía daños propios contratada;0;0;11;29;0
2003356388;Hombre;Urbano;No contratada;0;0;17;49;1
2003956629;Hombre;Urbano;Garantía daños propios contratada;0;0;23;41;1
2004867963;Hombre;Urbano;No contratada;0;0;11;30;6
2004952267;Hombre;No urbano;No contratada;0;0;24;49;13
2006152551;Hombre;No urbano;No contratada;0;0;31;49;0
2006851976;Hombre;Urbano;No contratada;0;0;12;30;6
8401901856;Hombre;No urbano;No contratada;0;16;24;42;10
8408590342;Hombre;No urbano;No contratada;0;16;12;30;4
8504700800;Hombre;Urbano;Garantía daños propios contratada;0;15;25;60;3
8504752234;Hombre;No urbano;Garantía daños propios contratada;0;15;21;60;6
8603158196;Hombre;No urbano;No contratada;0;14;12;30;5
8714601391;Hombre;Urbano;No contratada;0;13;22;40;4
8806102697;Hombre;Urbano;Garantía daños propios contratada;0;12;26;50;4
8903003530;Hombre;No urbano;Garantía daños propios contratada;0;11;25;50;0
9111550002;Hombre;No urbano;Garantía daños propios contratada;0;10;37;55;1
9210850615;Hombre;No urbano;No contratada;0;8;22;40;1
